"Approx Entropy",1,2,3,4,5
0.817893319,0.48644839,0.1600066873,0.0828749734,0.0521652086,0.0363980595
0.843584309,0.499865577,0.1656804757,0.0859704489,0.0541919863,0.0378758211
0.864143821,0.510477461,0.170265021,0.0884863089,0.0558389946,0.0390760356
0.881030807,0.519111344,0.1740586762,0.0905785412,0.0572086541,0.0400735914
0.89516124,0.526279257,0.1772518238,0.0923471482,0.0583665408,0.0409164704
0.907145192,0.532318181,0.1799729037,0.0938598971,0.0593570473,0.0416371628
0.91740765,0.537460484,0.1823123298,0.0951646913,0.0602115281,0.0422586165
0.926255231,0.541872343,0.184335902,0.0962965283,0.0609528747,0.0427975831
0.933915386,0.545676082,0.1860927905,0.0972816533,0.061598245,0.0432666149
0.940560626,0.548963854,0.1876205228,0.0981401623,0.0621607709,0.0436753164
0.946324116,0.551806368,0.1889482228,0.0988876974,0.0626506704,0.044031158
0.951310056,0.554258662,0.1900987857,0.0995365883,0.063075995,0.0443400249
0.955600789,0.55636403,0.1910903766,0.1000966409,0.0634431472,0.0446065946
0.959261786,0.558156751,0.1919374886,0.1005756958,0.063757245,0.0448346057
0.962345204,0.559664039,0.1926517015,0.1009800295,0.0640223848,0.0450270493
0.964892462,0.560907438,0.1932422339,0.1013146469,0.0642418329,0.0451863099
0.96693612,0.561903841,0.1937163486,0.1015834966,0.0644181659,0.0453142678
0.968501261,0.562666233,0.1940796493,0.1017896288,0.064553374,0.0454123755
0.969606484,0.563204227,0.1943362974,0.1019353107,0.0646489365,0.0454817122
0.970264613,0.563524442,0.1944891647,0.102022108,0.0647058748,0.0455230231
0.970483164,0.563630755,0.1945399355,0.1020509396,0.0647247884,0.0455367453
0.970264613,0.563524442,0.1944891647,0.102022108,0.0647058748,0.0455230231
0.969606484,0.563204227,0.1943362974,0.1019353107,0.0646489365,0.0454817122
0.968501261,0.562666233,0.1940796493,0.1017896288,0.064553374,0.0454123755
0.96693612,0.561903841,0.1937163486,0.1015834966,0.0644181659,0.0453142678
